year,month,day,fog,rain,snow,precipi,snowfalli,meantempi
2013,12,07,0,1,0,0.14,T,37
2013,12,08,0,1,1,0.08,0.10,31
2013,12,09,0,1,1,0.30,T,35
2013,12,10,1,0,1,0.23,1.40,34
2013,12,11,0,0,0,0.00,0.00,30
2013,12,12,0,0,0,0.00,0.00,27
2013,12,13,0,0,0,0.00,0.00,29
2013,12,14,1,1,1,0.73,5.00,28
2013,12,15,0,1,0,0.72,0.00,35
2013,12,16,0,0,0,0.00,0.00,29
2013,12,17,1,1,1,0.19,1.10,28
2013,12,18,0,0,0,0.00,0.00,30
2013,12,19,0,0,0,0.00,0.00,39
2013,12,20,0,0,0,0.00,0.00,47
2013,12,21,0,0,0,0.01,0.00,58
2013,12,22,0,0,0,T,0.00,66
2013,12,23,0,1,0,0.51,0.00,53
2013,12,24,0,0,0,T,T,34
2013,12,25,0,0,0,0.00,0.00,25
2013,12,26,0,0,0,T,T,33
2013,12,27,0,0,0,0.00,0.00,36
2013,12,28,0,0,0,0.00,0.00,46
2013,12,29,0,1,0,1.20,0.00,45
2013,12,30,0,0,0,0.00,0.00,34
2013,12,31,0,0,0,T,T,27
2014,01,01,0,0,0,0.00,0.00,29
2014,01,02,1,0,1,0.33,3.10,26
2014,01,03,0,0,1,0.29,3.30,14
2014,01,04,0,0,0,0.00,0.00,19
2014,01,05,1,1,0,0.14,T,34
2014,01,06,1,1,0,0.36,0.00,37
2014,01,07,0,0,0,0.00,0.00,12
2014,01,08,0,0,0,0.00,0.00,16
2014,01,09,0,0,0,0.00,0.00,27
2014,01,10,0,1,1,0.11,T,34
2014,01,11,1,1,0,0.50,0.00,48
2014,01,12,0,1,0,0.05,0.00,46
2014,01,13,0,0,0,0.00,0.00,44
2014,01,14,0,1,0,0.38,0.00,48
2014,01,15,0,0,0,0.00,0.00,40
2014,01,16,0,0,0,T,0.00,38
2014,01,17,0,0,0,0.00,0.00,39
2014,01,18,0,0,0,0.10,T,34
2014,01,19,0,0,0,0.00,0.00,31
2014,01,20,0,0,0,0.00,0.00,40
2014,01,21,0,0,0,0.00,11.00,23
2014,01,22,0,0,0,0.02,0.50,13
2014,01,23,0,0,0,0.00,0.00,14
2014,01,24,0,0,0,0.00,0.00,15
2014,01,25,0,0,1,0.04,1.00,24
2014,01,26,0,0,0,T,T,26
2014,01,27,0,0,0,0.00,0.00,33
2014,01,28,0,0,0,0.00,0.00,17
2014,01,29,0,0,1,0.04,0.80,19
2014,01,30,0,0,0,0.00,0.00,23
2014,01,31,0,0,0,0.00,0.00,32
2014,02,01,0,0,0,0.00,0.00,41
2014,02,02,0,0,0,T,0.00,48
2014,02,03,1,1,1,1.17,8.00,38
2014,02,04,0,0,0,0.00,0.00,29
2014,02,05,1,1,1,1.43,4.00,32
2014,02,06,0,0,0,0.00,0.00,27
2014,02,07,0,0,0,0.00,0.00,28
2014,02,08,0,0,0,0.00,0.00,25
2014,02,09,1,0,1,0.10,1.20,26
2014,02,10,0,0,0,0.00,0.00,25
2014,02,11,0,0,0,0.00,0.00,21
2014,02,12,0,0,0,0.00,0.00,19
2014,02,13,1,1,1,1.78,9.50,30
2014,02,14,1,1,1,0.30,3.00,36
2014,02,15,1,0,1,0.13,1.60,32
2014,02,16,0,0,0,0.00,0.00,26
2014,02,17,0,0,0,0.00,0.00,25
2014,02,18,1,0,1,0.16,1.50,33
2014,02,19,0,1,0,0.26,0.00,40
2014,02,20,0,1,0,0.03,0.00,44
2014,02,21,1,1,0,0.09,0.00,43
2014,02,22,0,0,0,0.00,0.00,47
2014,02,23,0,0,0,T,0.00,49
2014,02,24,0,0,0,0.00,0.00,36
2014,02,25,0,0,0,0.00,0.00,29
2014,02,26,0,0,1,0.03,0.20,26
2014,02,27,0,0,0,0.00,0.00,24
2014,02,28,0,0,0,0.00,0.00,17
2014,03,01,0,0,0,0.00,0.00,29
2014,03,02,0,0,0,T,T,36
2014,03,03,0,0,1,0.04,0.10,25
2014,03,04,0,0,0,0.00,0.00,21
